"id","pca1","pca2","k_means"
"216",-1.74317657450777,-0.178533711714372,2
"217",-0.725374874765326,-0.629859030306453,1
"218",-1.17659821793458,-0.54804286456972,1
"219",-1.34654019510397,-0.770277110415437,1
"220",-1.06959978158435,-0.884301706459179,1
"221",-1.12281457931523,-0.527783325493438,1
"222",-0.919677158370146,-0.141420793795612,1
"223",-1.15920719483293,-0.510674669257089,1
"224",-1.68495770280545,-0.0610548911020131,2
"225",-1.46053889466075,-0.383210512905309,2
"226",-1.40773267100906,-0.142176743104018,2
"227",-1.40518863674433,-0.646788812216078,1
"228",-0.854639011147671,-0.428859954601983,1
"229",-0.883131600429386,-0.590336534428965,1
"230",-1.05731202980778,-0.169193611897468,1
"231",-1.14580978312292,-0.662042868549144,1
"232",-0.742536717107098,-0.587398672367678,1
"233",-0.641397293460051,-0.523785333488962,1
"234",-0.910254364630488,-0.170340209696634,1
"235",-0.905504166477945,-0.466271079987818,1
"236",-0.981440552305616,-0.552419113852977,1
"237",-1.03093276961419,-0.446191556766962,1
"238",-1.09057196074048,-0.558062260323932,1
"239",-0.89704399003272,-0.590544875179835,1
"240",-1.06914764390584,-0.770497350769793,1
"241",-0.779286974720447,-0.675415713436476,1
"242",-1.5177016163726,-0.317482981474809,2
"243",-1.33583301612724,-0.57295792620331,1
"244",-1.25339527395383,-0.441663829604386,1
"245",-1.04739871786895,-0.792280636882321,1
"246",-0.764449232792142,-0.477360070972138,1
"247",-0.751218213624692,-0.740608229285526,1
"248",-0.931179834930499,-0.669455680357413,1
"249",-1.27876674346361,-0.36330988890072,2
"250",-1.10932202968615,-0.541512019241662,1
"251",-0.506679612167782,-0.616152322735626,1
"252",-1.03262802167876,-0.196319457181446,2
"253",-1.19789528124709,-0.990110809641763,1
"254",-0.922982964644688,-0.436853188451111,1
"255",-0.745605570426024,0.0608972757041789,1
"256",-1.24318188254853,-0.668000216136986,1
"257",-1.07596353872867,-0.497725643076449,1
"258",-0.831854725656246,-0.968487399337423,1
"259",-1.04248315279937,-0.444300248397885,1
"260",-1.01713035150268,-0.613141544111992,1
"261",-0.690331405356004,-0.389078863964619,1
"262",-0.540813099895629,-0.273951537864521,1
"263",-0.665458235524201,-0.762403354162617,1
"264",-0.854413634278815,-0.864770771743086,1
"265",-1.10307779026213,-0.237463380456351,1
"266",-1.67029283906262,-0.467620202390725,2
"267",-0.864147053613349,-0.467899724020876,1
"268",-1.24555867667909,-0.514102331950563,1
"269",-1.19738558572115,-0.391161670197698,1
"270",-1.0653339315982,-0.66116337176235,1
"271",-1.25415055782134,-0.000441459893827462,2
"272",-1.30153925608953,-0.330662025499163,1
"273",-1.38497955790039,-0.538983319457148,1
"274",-0.548131751249972,-0.546665763227016,1
"275",-1.0350385531986,-0.966676468721754,1
"276",-0.683666628680152,-0.635279464021847,1
"277",-1.2432721884023,-0.862494538421349,1
"278",-0.791702809433477,-0.510966096689031,1
"279",-0.964995102524835,-0.62758516182739,1
"280",-1.03592150369315,-0.886860890824843,1
"281",-1.29061491649489,-0.370054364031495,2
"282",-1.03228623271039,-0.447340515580143,1
"283",-1.52005635431167,-0.868895340459907,1
"284",-1.65744213055446,-0.223259927107054,2
"285",-1.14760681850585,-0.559760579140433,1
"286",-1.15596744016533,-0.373570458439984,1
"287",-0.926022169854807,-0.646332672742184,1
"288",-1.54177323908778,-0.182720410134002,2
"289",-1.5691773438686,-0.740808223088473,1
"290",-1.85198796669068,0.0704840060432331,2
"291",-1.27846957264392,-0.819079006357803,1
"292",-1.13876968387266,-0.17096651974917,1
"293",-1.2883448695227,-0.789204085922145,1
"294",-1.29712867571218,-0.179138485177834,2
"295",-1.11551671323857,-0.52920149458665,1
"296",-1.7288961826673,-0.739655213268148,2
"297",-1.26333171798215,-0.417532409668591,2
"298",-1.21824337162209,-0.24133407207463,2
"299",-1.44939311001489,-0.359300978203091,1
